timestamp,coin,headline,description,source,price_usd,open,high,low,close,sentiment_label,sentiment_score
2025-04-19T10:33:05Z,ETH,"Are Ethereum traders on edge? Yes, but look out for THIS key level!","Whale accumulation has slowed down as leverage rose, signaling high-risk positioning before a breakout
- Ethereum burn rate dropped sharply too, weakening the network’s deflationary support
Ethereum [ETH], at the time of writing, seemed to be consolidating wi…",Biztoc.com,1617.63515,1600.94,1605.23,1598.5,1602.95,neutral,0.9999
2025-04-19T10:44:00Z,BTC,"Rich Dad Poor Dad author predicts $1M Bitcoin, warns millions will be left poor","Finance guru Robert Kiyosaki warns the U.S. is heading into a ""Greater Depression"" and urges followers to act fast.",TheStreet,85581.783333,85217.38,85396.0,85115.45,85311.63,negative,0.9905
2025-04-19T11:11:04Z,BTC,Best Altcoins to Watch as Bitcoin Whales Return and Bullish Forecasts Soar,"Bitcoin whales are buying again, and that’s rarely a quiet signal. Large holders are scooping up $BTC at levels not seen since the last bull market, while mid-sized wallets are finally flipping bullish too. Add to that a bold prediction from crypto analyst Be…",Bitcoinist,85581.783333,85311.63,85436.72,85220.14,85328.12,positive,0.9999
2025-04-19T11:30:39Z,ETH,Ethereum Trades At Bear Market Lows: Fundamentals Signal Major Undervaluation,"Ethereum is trading below critical resistance levels after enduring weeks of heavy selling pressure and lackluster performance. Since breaking below the psychological $2,000 mark, the price has dropped more than 21%, signaling growing uncertainty among short-…",newsBTC,1617.63515,1602.96,1606.4,1597.66,1598.16,negative,0.9955
2025-04-19T11:45:21Z,BTC,Trader Michaël van de Poppe Says Bitcoin To Rally to New All-Time High Once There’s Clarity on These Two Matters,"A widely followed crypto analyst believes that Bitcoin (BTC) will print new all-time highs once there’s more clarity around two key issues. In a new thread, crypto trader Michaël van de Poppe tells his 783,300 followers on the social media platform X that Bit…",The Daily Hodl,85581.783333,85311.63,85436.72,85220.14,85328.12,neutral,0.9185
2025-04-19T11:45:32Z,BTC,Binance CEO Confirms ‘Important’ Bitcoin Price Game-Changer,The chief executive of the world’s largest crypto exchange has said Binance is advising countries on following the U.S. in adopting bitcoin as a strategy reserve asset...,Forbes,85581.783333,85311.63,85436.72,85220.14,85328.12,neutral,0.5838
2025-04-19T12:00:08Z,BTC,Bitcoin Price Volatility Ahead: Will BTC Crash Or Rally? Analysts Weigh In,"Although Bitcoin (BTC) continues to hold steady in the mid-$80,000 range, analysts are forecasting that significant volatility may be imminent for the leading cryptocurrency. That said, most analysts predict a potential price rally for the apex digital asset.…",Bitcoinist,85581.783333,85328.12,85343.22,85147.37,85250.0,negative,0.9591
2025-04-19T12:40:43Z,SOL,Trump Targets the Fed – Solaxy ($SOLX) Offers a Web3 Escape,"Donald Trump isn’t exactly known for subtlety, and now he’s aiming his wrecking ball straight at the Federal Reserve. The rumor mill is spinning fast – will President Trump really fire Jerome Powell? Anthony Pompliano, crypto investor and entrepreneur, says t…",Bitcoinist,128.3861,139.37,139.96,138.81,139.04,neutral,0.9999
2025-04-19T12:45:45Z,BTC,Best Altcoins to Buy as Long-Term $BTC Holders Continue to Remain in Profit Despite Recent Turbulence,"Bitcoin has remained sideways for the last couple of months, tossing between the $88K and $75K levels. It hasn’t made any significant moves to either side. New data from Glassnode shows that short-term Bitcoin holders are sitting on significant unrealized los…",newsBTC,85581.783333,85328.12,85343.22,85147.37,85250.0,positive,0.9994
2025-04-19T13:00:35Z,XRP,"Ripple Takes Asia By Storm With New XRP Product, Here Are The Recent Developments","Ripple is again breaking into the Asia market with a new XRP product, which would help drive institutional adoption. This move has been made in partnership with HashKey Capital, which launched this fund in order to expand institutional access to the altcoin. …",newsBTC,2.097045,2.0845,2.0868,2.0801,2.0814,neutral,0.9977
2025-04-19T13:01:02Z,BTC,What Is 'Idle Mine'? This Free iOS and Android Game Pays Real Bitcoin,Mobile game Idle Mine lets you earn real Bitcoin for mining fake gems on iOS and Android. Here’s how it works.,Decrypt,85581.783333,85249.99,85287.54,85118.08,85217.4,neutral,1.0
2025-04-19T13:07:54Z,BTC,Bitcoin can reach $138K in 3 months as macro odds see BTC price upside,"Bitcoin (BTC) faces “unprecedented” US dollar correlation as new BTC price research gives a $75,000 floor.In one of his latest analyses on April 18, network economist Timothy Peterson calculated that BTC/USD may rise as high as $138,000 within the next three …",Cointelegraph,85581.783333,85249.99,85287.54,85118.08,85217.4,positive,1.0
